Sample Number,Sample Name,Sample_file,Condition
1,R/270N/B0(1),Sample1,270
2,R/270N/B(1),Sample2,270
3,R/270N/M(1),Sample3,270
4,R/270N/P(1),Sample4,270
5,R/270N/B0(2),Sample5,270
6,R/270N/B(2),Sample6,270
7,R/270N/M(2),Sample7,270
8,R/270N/P(2),Sample8,270
9,R/270N/B0(3),Sample9,270
10,R/270N/B(3),Sample10,270
11,R/270N/M(3),Sample11,270
12,R/270N/P(3),Sample12,270
13,R/10N/B0(1),Sample13,10
14,R/10N/B(1),Sample14,10
15,R/10N/M(1),Sample15,10
16,R/10N/P(1),Sample16,10
17,R/10N/B0(2),Sample17,10
18,R/10N/B(2),Sample18,10
19,R/10N/M(2),Sample19,10
20,R/10N/P(2),Sample20,10
21,R/10N/B0(3),Sample21,10
22,R/10N/B(3),Sample22,10
23,R/10N/M(3),Sample23,10
24,R/10N/P(3),Sample24,10
25,NR/270N/B0(1),Sample25,270
26,NR/270N/B(1),Sample26,270
27,NR/270N/M(1),Sample27,270
28,NR/270N/P(1),Sample28,270
29,NR/270N/B0(2),Sample29,270
30,NR/270N/B(2),Sample30,270
31,NR/270N/M(2),Sample31,270
32,NR/270N/P(2),Sample32,270
33,NR/270N/B0(3),Sample33,270
34,NR/270N/B(3),Sample34,270
35,NR/270N/M(3),Sample35,270
36,NR/270N/P(3),Sample36,270
37,NR/10N/B0(1),Sample37,10
38,NR/10N/B(1),Sample38,10
39,NR/10N/M(1),Sample39,10
40,NR/10N/P(1),Sample40,10
41,NR/10N/B0(2),Sample41,10
42,NR/10N/B(2),Sample42,10
43,NR/10N/M(2),Sample43,10
44,NR/10N/P(2),Sample44,10
45,NR/10N/B0(3),Sample45,10
46,NR/10N/B(3),Sample46,10
47,NR/10N/M(3),Sample47,10
48,NR/10N/P(3),Sample48,10
